danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.393,0.864,6,-7.006,0,0.0408,0.000261,0.869,0.439,0.125,185.014,audio_features,6ARow0VSuFxztrnCep2yer,spotify:track:6ARow0VSuFxztrnCep2yer,https://api.spotify.com/v1/tracks/6ARow0VSuFxztrnCep2yer,https://api.spotify.com/v1/audio-analysis/6ARow0VSuFxztrnCep2yer,170942,3
0.864,0.297,10,-17.449,1,0.246,0.728,0.904,0.098,0.309,89.311,audio_features,12ZG53Lfb2XrnGORazze9W,spotify:track:12ZG53Lfb2XrnGORazze9W,https://api.spotify.com/v1/tracks/12ZG53Lfb2XrnGORazze9W,https://api.spotify.com/v1/audio-analysis/12ZG53Lfb2XrnGORazze9W,147958,4
0.412,0.894,5,-5.006,0,0.087,2.68e-05,0.815,0.0676,0.268,154.945,audio_features,0SpM99ZmNOlF6DOkddllun,spotify:track:0SpM99ZmNOlF6DOkddllun,https://api.spotify.com/v1/tracks/0SpM99ZmNOlF6DOkddllun,https://api.spotify.com/v1/audio-analysis/0SpM99ZmNOlF6DOkddllun,215971,4
0.607,0.883,11,-6.75,1,0.0519,0.000438,0.426,0.368,0.036,126.023,audio_features,4GT1NVYkxsN3grh7zclyLa,spotify:track:4GT1NVYkxsN3grh7zclyLa,https://api.spotify.com/v1/tracks/4GT1NVYkxsN3grh7zclyLa,https://api.spotify.com/v1/audio-analysis/4GT1NVYkxsN3grh7zclyLa,197143,4
0.78,0.245,7,-16.754,0,0.0438,0.892,0.865,0.144,0.307,95.679,audio_features,3M4yYIaXodUkt93yv79GMC,spotify:track:3M4yYIaXodUkt93yv79GMC,https://api.spotify.com/v1/tracks/3M4yYIaXodUkt93yv79GMC,https://api.spotify.com/v1/audio-analysis/3M4yYIaXodUkt93yv79GMC,167811,4
0.814,0.618,5,-5.614,0,0.0619,0.0386,3.34e-06,0.671,0.535,121.075,audio_features,5L3ecxQnQ9qTBmnLQiwf0C,spotify:track:5L3ecxQnQ9qTBmnLQiwf0C,https://api.spotify.com/v1/tracks/5L3ecxQnQ9qTBmnLQiwf0C,https://api.spotify.com/v1/audio-analysis/5L3ecxQnQ9qTBmnLQiwf0C,185221,4
0.476,0.829,10,-3.806,0,0.0658,0.0172,0.00916,0.167,0.505,139.198,audio_features,2yR2sziCF4WEs3klW1F38d,spotify:track:2yR2sziCF4WEs3klW1F38d,https://api.spotify.com/v1/tracks/2yR2sziCF4WEs3klW1F38d,https://api.spotify.com/v1/audio-analysis/2yR2sziCF4WEs3klW1F38d,133227,4
0.813,0.621,5,-5.614,0,0.0618,0.0405,2.74e-06,0.67,0.545,121.057,audio_features,4o82J5zr4DFEs9yj5szCVX,spotify:track:4o82J5zr4DFEs9yj5szCVX,https://api.spotify.com/v1/tracks/4o82J5zr4DFEs9yj5szCVX,https://api.spotify.com/v1/audio-analysis/4o82J5zr4DFEs9yj5szCVX,185221,4
0.776,0.817,5,-6.018,0,0.0748,0.18,3.44e-05,0.146,0.515,149.921,audio_features,5sdQOyqq2IDhvmx2lHOpwd,spotify:track:5sdQOyqq2IDhvmx2lHOpwd,https://api.spotify.com/v1/tracks/5sdQOyqq2IDhvmx2lHOpwd,https://api.spotify.com/v1/audio-analysis/5sdQOyqq2IDhvmx2lHOpwd,154667,4
0.818,0.629,5,-5.567,0,0.0566,0.0239,1.88e-06,0.615,0.548,121.031,audio_features,3vUDNDbhYkfidboErlk7cx,spotify:track:3vUDNDbhYkfidboErlk7cx,https://api.spotify.com/v1/tracks/3vUDNDbhYkfidboErlk7cx,https://api.spotify.com/v1/audio-analysis/3vUDNDbhYkfidboErlk7cx,185221,4
0.854,0.674,1,-6.23,1,0.184,0.0517,8.53e-05,0.509,0.848,99.022,audio_features,6WzRpISELf3YglGAh7TXcG,spotify:track:6WzRpISELf3YglGAh7TXcG,https://api.spotify.com/v1/tracks/6WzRpISELf3YglGAh7TXcG,https://api.spotify.com/v1/audio-analysis/6WzRpISELf3YglGAh7TXcG,215467,4
0.705,0.849,0,-2.595,1,0.0493,0.0647,0.0,0.653,0.609,125.976,audio_features,1OG1NoKpZZLrMqMYCk9m84,spotify:track:1OG1NoKpZZLrMqMYCk9m84,https://api.spotify.com/v1/tracks/1OG1NoKpZZLrMqMYCk9m84,https://api.spotify.com/v1/audio-analysis/1OG1NoKpZZLrMqMYCk9m84,182224,4
0.814,0.62,5,-5.614,0,0.0621,0.0411,3.47e-06,0.669,0.544,121.055,audio_features,1RlcvK95g0XfRpDvFbGLUO,spotify:track:1RlcvK95g0XfRpDvFbGLUO,https://api.spotify.com/v1/tracks/1RlcvK95g0XfRpDvFbGLUO,https://api.spotify.com/v1/audio-analysis/1RlcvK95g0XfRpDvFbGLUO,185221,4
0.819,0.537,5,-9.655,0,0.0551,0.00579,0.83,0.0913,0.233,121.041,audio_features,2kvzSGkSaU9z3uywQIrhAg,spotify:track:2kvzSGkSaU9z3uywQIrhAg,https://api.spotify.com/v1/tracks/2kvzSGkSaU9z3uywQIrhAg,https://api.spotify.com/v1/audio-analysis/2kvzSGkSaU9z3uywQIrhAg,185221,4
0.521,0.858,11,-4.567,0,0.156,0.00959,0.0278,0.191,0.633,162.34,audio_features,3IXulV67LQmDSIL0NhepDs,spotify:track:3IXulV67LQmDSIL0NhepDs,https://api.spotify.com/v1/tracks/3IXulV67LQmDSIL0NhepDs,https://api.spotify.com/v1/audio-analysis/3IXulV67LQmDSIL0NhepDs,114194,4
0.643,0.805,7,-5.576,1,0.0476,0.0213,7.36e-06,0.407,0.298,76.48,audio_features,5MUMO8vlKvbbQTq8ocU8gJ,spotify:track:5MUMO8vlKvbbQTq8ocU8gJ,https://api.spotify.com/v1/tracks/5MUMO8vlKvbbQTq8ocU8gJ,https://api.spotify.com/v1/audio-analysis/5MUMO8vlKvbbQTq8ocU8gJ,162980,4
0.797,0.668,6,-5.819,1,0.0687,0.257,0.0,0.0876,0.69,131.067,audio_features,1aKvZDoLGkNMxoRYgkckZG,spotify:track:1aKvZDoLGkNMxoRYgkckZG,https://api.spotify.com/v1/tracks/1aKvZDoLGkNMxoRYgkckZG,https://api.spotify.com/v1/audio-analysis/1aKvZDoLGkNMxoRYgkckZG,160688,4
0.816,0.63,5,-5.589,0,0.0622,0.0228,2.1e-06,0.615,0.543,121.028,audio_features,7yEtxs3P6esjF1z5W6uH43,spotify:track:7yEtxs3P6esjF1z5W6uH43,https://api.spotify.com/v1/tracks/7yEtxs3P6esjF1z5W6uH43,https://api.spotify.com/v1/audio-analysis/7yEtxs3P6esjF1z5W6uH43,185221,4
0.815,0.834,4,-2.828,0,0.0475,0.0327,0.000268,0.27,0.692,129.989,audio_features,4uOBL4DDWWVx4RhYKlPbPC,spotify:track:4uOBL4DDWWVx4RhYKlPbPC,https://api.spotify.com/v1/tracks/4uOBL4DDWWVx4RhYKlPbPC,https://api.spotify.com/v1/audio-analysis/4uOBL4DDWWVx4RhYKlPbPC,161240,4
0.711,0.228,0,-12.85,1,0.172,0.776,0.0,0.122,0.548,88.714,audio_features,57Pk2GU0ABFYBbbcgYxqki,spotify:track:57Pk2GU0ABFYBbbcgYxqki,https://api.spotify.com/v1/tracks/57Pk2GU0ABFYBbbcgYxqki,https://api.spotify.com/v1/audio-analysis/57Pk2GU0ABFYBbbcgYxqki,224387,4
0.508,0.767,2,-4.945,1,0.0746,0.0305,0.0104,0.143,0.317,119.294,audio_features,0I4cfb7ATp8pC2w6OKk8al,spotify:track:0I4cfb7ATp8pC2w6OKk8al,https://api.spotify.com/v1/tracks/0I4cfb7ATp8pC2w6OKk8al,https://api.spotify.com/v1/audio-analysis/0I4cfb7ATp8pC2w6OKk8al,155431,4
0.566,0.769,7,-4.342,1,0.0872,0.0183,0.0,0.108,0.385,170.036,audio_features,5sbooPcNgIE22DwO0VNGUJ,spotify:track:5sbooPcNgIE22DwO0VNGUJ,https://api.spotify.com/v1/tracks/5sbooPcNgIE22DwO0VNGUJ,https://api.spotify.com/v1/audio-analysis/5sbooPcNgIE22DwO0VNGUJ,191100,4
0.739,0.904,5,-2.655,0,0.0442,0.549,1.03e-05,0.0948,0.788,167.033,audio_features,6aJn7Cst74cj4lNIiPRgav,spotify:track:6aJn7Cst74cj4lNIiPRgav,https://api.spotify.com/v1/tracks/6aJn7Cst74cj4lNIiPRgav,https://api.spotify.com/v1/audio-analysis/6aJn7Cst74cj4lNIiPRgav,129883,4
0.729,0.795,7,-4.579,1,0.144,0.354,0.0,0.536,0.856,146.747,audio_features,5zd9TgduWbfFXwgnm3K3Rz,spotify:track:5zd9TgduWbfFXwgnm3K3Rz,https://api.spotify.com/v1/tracks/5zd9TgduWbfFXwgnm3K3Rz,https://api.spotify.com/v1/audio-analysis/5zd9TgduWbfFXwgnm3K3Rz,176880,4
0.775,0.624,6,-6.619,1,0.174,0.126,0.0,0.337,0.415,110.694,audio_features,0qUC8NG7v1eETnCsjqXUzW,spotify:track:0qUC8NG7v1eETnCsjqXUzW,https://api.spotify.com/v1/tracks/0qUC8NG7v1eETnCsjqXUzW,https://api.spotify.com/v1/audio-analysis/0qUC8NG7v1eETnCsjqXUzW,127106,5
0.8,0.56,5,-4.818,0,0.261,0.057,0.0,0.134,0.45,163.071,audio_features,6EDO9iiTtwNv6waLwa1UUq,spotify:track:6EDO9iiTtwNv6waLwa1UUq,https://api.spotify.com/v1/tracks/6EDO9iiTtwNv6waLwa1UUq,https://api.spotify.com/v1/audio-analysis/6EDO9iiTtwNv6waLwa1UUq,200221,4
0.572,0.81,9,-3.732,1,0.0281,0.00052,0.668,0.0487,0.109,139.98,audio_features,5W4qGK4k0un6olS3L4c14s,spotify:track:5W4qGK4k0un6olS3L4c14s,https://api.spotify.com/v1/tracks/5W4qGK4k0un6olS3L4c14s,https://api.spotify.com/v1/audio-analysis/5W4qGK4k0un6olS3L4c14s,90857,4
0.853,0.533,4,-6.647,1,0.126,0.263,0.00406,0.134,0.306,123.066,audio_features,47yD0e9MCRIB8dgUXPfyW3,spotify:track:47yD0e9MCRIB8dgUXPfyW3,https://api.spotify.com/v1/tracks/47yD0e9MCRIB8dgUXPfyW3,https://api.spotify.com/v1/audio-analysis/47yD0e9MCRIB8dgUXPfyW3,193320,4
0.903,0.768,6,-6.304,1,0.212,0.219,0.0,0.0692,0.916,134.049,audio_features,6LVynTimCZI4Zt3IB1c44F,spotify:track:6LVynTimCZI4Zt3IB1c44F,https://api.spotify.com/v1/tracks/6LVynTimCZI4Zt3IB1c44F,https://api.spotify.com/v1/audio-analysis/6LVynTimCZI4Zt3IB1c44F,112823,4
